Feature,Importance_Score
satisfaction_score,0.4533919822910479
contract,0.0559821436569983
monthly_ charges,0.038011981547900926
number_of_referrals,0.02906488844580112
tenure,0.028220315860739777
monetary_value,0.025215503147354764
total_revenue,0.022216514815611918
total_long_distance_charges,0.021549645171369484
RFM_Score,0.02135978607524122
avg_monthly_gb_download,0.02069471042020443
total_charges,0.02005850077697256
age,0.01965757736218563
R,0.018957217451281552
latitude,0.01817838483203535
cltv,0.017804550913252382
total_population,0.017803312843823995
longitude,0.016529665955427233
avg_monthly_long_distance_charges,0.0147207554822524
internet_type,0.013931120400680867
dependents,0.010769624950856123
number_of_dependents,0.010049640672540128
senior_citizen,0.008273004688468458
online_security,0.007914698157414192
payment_method,0.0076942411490613415
paperless_billing,0.007579093953411989
frequency_score,0.006565957072997814
internet_service,0.006024427551362681
premium_tech_support,0.00527419978253914
M,0.005158654637504756
F,0.0041613578639512795
multiple_lines,0.0041166983804473735
offer,0.003942898297628233
total_extra_data_charges,0.003749940271190264
unlimited_data,0.0036682899827380233
partner,0.0033975014819985494
streaming_tv,0.003245161354396318
streaming_music,0.00319657246208621
gender,0.003158099673877064
referred_a_friend,0.0030898759312449516
married,0.002889886647014112
total_refunds,0.002323632967558865
streaming_movies,0.0022268846207530034
online_backup,0.0021082526214821276
device_protection,0.0018847433965361068
Customer_Segment,0.001751921419509934
under_30,0.0017458307836936565
phone_service,0.0006903517775554805
